source,target,relation
hexokinase,glucose,catalyzes
lactase,lactose,regulates
pepsin,proteins,catalyzes
pepsin,bonds,catalyzes
proteins,h2o2,produces
proteins,reductant,catalyzes
proteins,motif,binds_to
amylase,starch,catalyzes
amylase,sugars,catalyzes
lipase,fats,catalyzes
trypsin,bonds,catalyzes
polymerase,dna,catalyzes
polymerase,chains,catalyzes
maltase,maltose,catalyzes
sucrase,sucrose,catalyzes
urease,urea,catalyzes
glucokinase,glucose-6-phosphate,catalyzes
insulin,carbohydrates,regulates
inhibitors,replication,regulates
cellulase,glucose,degrades
cellulase,cellulose,degrades
cellulase,cellulose,degrades
cellulase,this,degrades
cellulase,this,degrades
cellulase,cellulose,produces
cellulase,cellulose,produces
cellulase,site,participates_in
cellulase,biomass,participates_in
cellulase,biomass,participates_in
cellulase,cellulose,regulates
cellulase,cellulose,regulates
synthase,adp,produces
synthase,omega-hydroxy-l-arginine,binds_to
ligase,isophthalate,degrades
oxidase,reactions,catalyzes
oxidase,ogs,catalyzes
oxidase,og,degrades
kinase,nadh,catalyzes
polymerase,dna,catalyzes
polymerase,chains,catalyzes
lpmos,chitin,regulates
lpmos,polysaccharides,regulates
lpmos,chitin,regulates
lpmos,pests,degrades
lpmos,chitin,degrades
lpmos,chitin,degrades
lpmos,wall,regulates
lpmos,wall,regulates
lpmos,cellulose,degrades
lpmos,cellulose,degrades
lpmos,nanofibrils,produces
lpmos,biomass,catalyzes
lpmos,biomass,catalyzes
lpmos,products,participates_in
lpmos,cellulose-active,participates_in
lpmos,cellulose-active,participates_in
lpmos,copper,binds_to
lpmos,copper,binds_to
lpmos,site,regulates
lpmos,biomass,degrades
lpmos,biomass,degrades
lpmos,substrates,catalyzes
lpmos,substrates,catalyzes
lpmos,wall,participates_in
lpmos,wall,participates_in
lpmos,chitin,participates_in
lpmos,chitin,participates_in
lpmos,biomass,participates_in
lpmos,biomass,participates_in
lpmos,biomass,interacts_with
lpmos,biomass,interacts_with
lpmos,polysaccharides,catalyzes
lpmos,cellulose,catalyzes
lpmos,cellulose,catalyzes
