source,relation,target
LPMO_hexokinase,CATALYZES,LPMO_glucose
LPMO_lactase,REGULATES,LPMO_lactose
LPMO_pepsin,CATALYZES,LPMO_bonds
LPMO_amylase,CATALYZES,LPMO_starch
LPMO_amylase,CATALYZES,LPMO_sugars
LPMO_lipase,CATALYZES,LPMO_fats
LPMO_trypsin,CATALYZES,LPMO_bonds
LPMO_polymerase,CATALYZES,LPMO_dna
LPMO_polymerase,CATALYZES,LPMO_dna
LPMO_polymerase,CATALYZES,LPMO_chains
LPMO_polymerase,CATALYZES,LPMO_chains
LPMO_maltase,CATALYZES,LPMO_maltose
LPMO_sucrase,CATALYZES,LPMO_sucrose
LPMO_urease,CATALYZES,LPMO_urea
LPMO_glucokinase,CATALYZES,LPMO_glucose-6-phosphate
LPMO_insulin,REGULATES,LPMO_carbohydrates
LPMO_inhibitors,REGULATES,LPMO_replication
LPMO_cellulase,REGULATES,LPMO_cellulose
LPMO_cellulase,REGULATES,LPMO_cellulose
LPMO_cellulase,REGULATES,LPMO_cellulose
LPMO_cellulase,REGULATES,LPMO_cellulose
LPMO_cellulase,PRODUCES,LPMO_cellulose
LPMO_cellulase,PRODUCES,LPMO_cellulose
LPMO_cellulase,PRODUCES,LPMO_cellulose
LPMO_cellulase,PRODUCES,LPMO_cellulose
LPMO_cellulase,DEGRADES,LPMO_glucose
LPMO_cellulase,DEGRADES,LPMO_cellulose
LPMO_cellulase,DEGRADES,LPMO_cellulose
LPMO_cellulase,DEGRADES,LPMO_cellulose
LPMO_cellulase,DEGRADES,LPMO_cellulose
LPMO_cellulase,DEGRADES,LPMO_this
LPMO_cellulase,DEGRADES,LPMO_this
LPMO_cellulase,DEGRADES,LPMO_this
LPMO_cellulase,DEGRADES,LPMO_this
LPMO_cellulase,PARTICIPATES_IN,LPMO_site
LPMO_cellulase,PARTICIPATES_IN,LPMO_biomass
LPMO_cellulase,PARTICIPATES_IN,LPMO_biomass
LPMO_cellulase,PARTICIPATES_IN,LPMO_biomass
LPMO_cellulase,PARTICIPATES_IN,LPMO_biomass
LPMO_synthase,PRODUCES,LPMO_adp
LPMO_synthase,BINDS_TO,LPMO_omega-hydroxy-l-arginine
LPMO_ligase,DEGRADES,LPMO_isophthalate
LPMO_oxidase,CATALYZES,LPMO_reactions
LPMO_oxidase,CATALYZES,LPMO_ogs
LPMO_oxidase,DEGRADES,LPMO_og
LPMO_kinase,CATALYZES,LPMO_nadh
LPMO_polymerase,CATALYZES,LPMO_dna
LPMO_polymerase,CATALYZES,LPMO_dna
LPMO_polymerase,CATALYZES,LPMO_chains
LPMO_polymerase,CATALYZES,LPMO_chains
LPMO_lpmos,CATALYZES,LPMO_bonds
LPMO_lpmos,CATALYZES,LPMO_bonds
LPMO_lpmos,CATALYZES,LPMO_h2o2
LPMO_lpmos,CATALYZES,LPMO_h2o2
LPMO_lpmos,CATALYZES,LPMO_starch
LPMO_lpmos,CATALYZES,LPMO_chains
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_cellulose
LPMO_lpmos,CATALYZES,LPMO_biomass
LPMO_lpmos,CATALYZES,LPMO_biomass
LPMO_lpmos,CATALYZES,LPMO_biomass
LPMO_lpmos,CATALYZES,LPMO_biomass
LPMO_lpmos,CATALYZES,LPMO_biomass
LPMO_lpmos,CATALYZES,LPMO_biomass
LPMO_lpmos,CATALYZES,LPMO_biomass
LPMO_lpmos,CATALYZES,LPMO_biomass
LPMO_lpmos,CATALYZES,LPMO_chitin
LPMO_lpmos,CATALYZES,LPMO_chitin
LPMO_lpmos,CATALYZES,LPMO_chitin
LPMO_lpmos,CATALYZES,LPMO_chitin
LPMO_lpmos,CATALYZES,LPMO_polysaccharides
LPMO_lpmos,CATALYZES,LPMO_polysaccharides
LPMO_lpmos,CATALYZES,LPMO_polysaccharides
LPMO_lpmos,CATALYZES,LPMO_polysaccharides
LPMO_lpmos,CATALYZES,LPMO_polysaccharides
LPMO_lpmos,CATALYZES,LPMO_chitin
LPMO_lpmos,CATALYZES,LPMO_chitin
LPMO_lpmos,CATALYZES,LPMO_chitin
LPMO_lpmos,CATALYZES,LPMO_chitin
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_substrates
LPMO_lpmos,CATALYZES,LPMO_fibers
LPMO_lpmos,CATALYZES,LPMO_fibers
LPMO_lpmos,CATALYZES,LPMO_fibers
LPMO_lpmos,CATALYZES,LPMO_fibers
LPMO_lpmos,CATALYZES,LPMO_hemicelluloses
LPMO_lpmos,CATALYZES,LPMO_xylan
LPMO_lpmos,CATALYZES,LPMO_linkages
LPMO_lpmos,CATALYZES,LPMO_peroxide
LPMO_lpmos,CATALYZES,LPMO_peroxide
LPMO_lpmos,CATALYZES,LPMO_peroxide
LPMO_lpmos,CATALYZES,LPMO_peroxide
LPMO_lpmos,CATALYZES,LPMO_c4
LPMO_lpmos,REGULATES,LPMO_site
LPMO_lpmos,REGULATES,LPMO_chitin
LPMO_lpmos,REGULATES,LPMO_chitin
LPMO_lpmos,REGULATES,LPMO_polysaccharides
LPMO_lpmos,REGULATES,LPMO_chitin
LPMO_lpmos,REGULATES,LPMO_chitin
LPMO_lpmos,REGULATES,LPMO_wall
LPMO_lpmos,REGULATES,LPMO_wall
LPMO_lpmos,REGULATES,LPMO_wall
LPMO_lpmos,REGULATES,LPMO_wall
LPMO_lpmos,PRODUCES,LPMO_nanofibrils
LPMO_lpmos,PRODUCES,LPMO_copper
LPMO_lpmos,PRODUCES,LPMO_copper
LPMO_lpmos,PRODUCES,LPMO_copper
LPMO_lpmos,PRODUCES,LPMO_copper
LPMO_lpmos,BINDS_TO,LPMO_cellulose
LPMO_lpmos,BINDS_TO,LPMO_cellulose
LPMO_lpmos,BINDS_TO,LPMO_cellulose
LPMO_lpmos,BINDS_TO,LPMO_cellulose
LPMO_lpmos,BINDS_TO,LPMO_cellulose
LPMO_lpmos,BINDS_TO,LPMO_cellulose
LPMO_lpmos,BINDS_TO,LPMO_cellulose
LPMO_lpmos,BINDS_TO,LPMO_cellulose
LPMO_lpmos,BINDS_TO,LPMO_copper
LPMO_lpmos,BINDS_TO,LPMO_copper
LPMO_lpmos,BINDS_TO,LPMO_copper
LPMO_lpmos,BINDS_TO,LPMO_copper
LPMO_lpmos,BINDS_TO,LPMO_copper
LPMO_lpmos,BINDS_TO,LPMO_copper
LPMO_lpmos,BINDS_TO,LPMO_copper
LPMO_lpmos,BINDS_TO,LPMO_copper
LPMO_lpmos,BINDS_TO,LPMO_substrates
LPMO_lpmos,BINDS_TO,LPMO_substrates
LPMO_lpmos,BINDS_TO,LPMO_substrates
LPMO_lpmos,BINDS_TO,LPMO_substrates
LPMO_lpmos,BINDS_TO,LPMO_substrate
LPMO_lpmos,BINDS_TO,LPMO_substrate
LPMO_lpmos,BINDS_TO,LPMO_substrate
LPMO_lpmos,BINDS_TO,LPMO_substrate
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_cellulose
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_biomass
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_polysaccharides
LPMO_lpmos,DEGRADES,LPMO_polysaccharides
LPMO_lpmos,DEGRADES,LPMO_polysaccharides
LPMO_lpmos,DEGRADES,LPMO_polysaccharides
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_chitin
LPMO_lpmos,DEGRADES,LPMO_pests
LPMO_lpmos,DEGRADES,LPMO_wall
LPMO_lpmos,DEGRADES,LPMO_wall
LPMO_lpmos,DEGRADES,LPMO_wall
LPMO_lpmos,DEGRADES,LPMO_wall
LPMO_lpmos,DEGRADES,LPMO_chitooligosaccharides
LPMO_lpmos,DEGRADES,LPMO_biopolymers
LPMO_lpmos,DEGRADES,LPMO_pectin
LPMO_lpmos,DEGRADES,LPMO_oligosaccharides
LPMO_lpmos,DEGRADES,LPMO_lignocellulose
LPMO_lpmos,DEGRADES,LPMO_softwoods
LPMO_lpmos,DEGRADES,LPMO_polysaccharide
LPMO_lpmos,DEGRADES,LPMO_polysaccharide
LPMO_lpmos,DEGRADES,LPMO_polysaccharide
LPMO_lpmos,DEGRADES,LPMO_polysaccharide
LPMO_lpmos,DEGRADES,LPMO_polymers
LPMO_lpmos,DEGRADES,LPMO_polymers
LPMO_lpmos,DEGRADES,LPMO_polymers
LPMO_lpmos,DEGRADES,LPMO_polymers
LPMO_lpmos,DEGRADES,LPMO_reductants
LPMO_lpmos,DEGRADES,LPMO_xg
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_biomass
LPMO_lpmos,PARTICIPATES_IN,LPMO_chitin
LPMO_lpmos,PARTICIPATES_IN,LPMO_chitin
LPMO_lpmos,PARTICIPATES_IN,LPMO_chitin
LPMO_lpmos,PARTICIPATES_IN,LPMO_chitin
LPMO_lpmos,PARTICIPATES_IN,LPMO_wall
LPMO_lpmos,PARTICIPATES_IN,LPMO_wall
LPMO_lpmos,PARTICIPATES_IN,LPMO_wall
LPMO_lpmos,PARTICIPATES_IN,LPMO_wall
LPMO_lpmos,PARTICIPATES_IN,LPMO_products
LPMO_lpmos,PARTICIPATES_IN,LPMO_cellulose-active
LPMO_lpmos,PARTICIPATES_IN,LPMO_cellulose-active
LPMO_lpmos,PARTICIPATES_IN,LPMO_cellulose-active
LPMO_lpmos,PARTICIPATES_IN,LPMO_cellulose-active
LPMO_lpmos,PARTICIPATES_IN,LPMO_ends
LPMO_lpmos,PARTICIPATES_IN,LPMO_lignocellulose
LPMO_lpmos,PARTICIPATES_IN,LPMO_bagasse
LPMO_lpmos,INTERACTS_WITH,LPMO_biomass
LPMO_lpmos,INTERACTS_WITH,LPMO_biomass
LPMO_lpmos,INTERACTS_WITH,LPMO_biomass
LPMO_lpmos,INTERACTS_WITH,LPMO_biomass
LPMO_lpmos,INTERACTS_WITH,LPMO_substrates
LPMO_lpmos,INTERACTS_WITH,LPMO_substrates
LPMO_lpmos,INTERACTS_WITH,LPMO_substrates
LPMO_lpmos,INTERACTS_WITH,LPMO_substrates
LPMO_lpmos,INTERACTS_WITH,LPMO_saccharide
LPMO_lpmos,INTERACTS_WITH,LPMO_histidine-brace
LPMO_lpmos,INTERACTS_WITH,"LPMO_substrates,"
LPMO_lpmos,MODIFIES,LPMO_polysaccharides
LPMO_lpmos,MODIFIES,LPMO_copper
LPMO_lpmos,MODIFIES,LPMO_copper
LPMO_lpmos,MODIFIES,LPMO_copper
LPMO_lpmos,MODIFIES,LPMO_copper
LPMO_lpmos,MODIFIES,LPMO_gluco-oligosaccharides
LPMO_lpmos,MODIFIES,LPMO_his1
LPMO_lpmos,MODIFIES,LPMO_fibers
LPMO_lpmos,MODIFIES,LPMO_fibers
LPMO_lpmos,MODIFIES,LPMO_fibers
LPMO_lpmos,MODIFIES,LPMO_fibers
LPMO_lpmo,CATALYZES,LPMO_lactose
LPMO_lpmo,CATALYZES,LPMO_h2o2
LPMO_lpmo,CATALYZES,LPMO_h2o2
LPMO_lpmo,CATALYZES,LPMO_starch
LPMO_lpmo,CATALYZES,LPMO_biomass
LPMO_lpmo,CATALYZES,LPMO_biomass
LPMO_lpmo,CATALYZES,LPMO_biomass
LPMO_lpmo,CATALYZES,LPMO_biomass
LPMO_lpmo,CATALYZES,LPMO_biomass
LPMO_lpmo,CATALYZES,LPMO_biomass
LPMO_lpmo,CATALYZES,LPMO_biomass
LPMO_lpmo,CATALYZES,LPMO_biomass
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_chitin
LPMO_lpmo,CATALYZES,LPMO_substrates
LPMO_lpmo,CATALYZES,LPMO_substrates
LPMO_lpmo,CATALYZES,LPMO_substrates
LPMO_lpmo,CATALYZES,LPMO_substrates
LPMO_lpmo,CATALYZES,LPMO_polysaccharide
LPMO_lpmo,CATALYZES,LPMO_polysaccharide
LPMO_lpmo,CATALYZES,LPMO_polysaccharide
LPMO_lpmo,CATALYZES,LPMO_polysaccharide
LPMO_lpmo,CATALYZES,LPMO_surface
LPMO_lpmo,CATALYZES,LPMO_feedstocks
LPMO_lpmo,CATALYZES,LPMO_lignocelluloses
LPMO_lpmo,CATALYZES,LPMO_reservoir
LPMO_lpmo,CATALYZES,LPMO_electrons
LPMO_lpmo,CATALYZES,LPMO_β-chitin
LPMO_lpmo,CATALYZES,LPMO_poly-saccharides
LPMO_lpmo,CATALYZES,LPMO_electron
LPMO_lpmo,CATALYZES,LPMO_h2o2.
LPMO_lpmo,REGULATES,LPMO_copper
LPMO_lpmo,REGULATES,LPMO_copper
LPMO_lpmo,REGULATES,LPMO_copper
LPMO_lpmo,REGULATES,LPMO_copper
LPMO_lpmo,REGULATES,LPMO_cinnamon
LPMO_lpmo,REGULATES,LPMO_citrate
LPMO_lpmo,REGULATES,LPMO_softwood
LPMO_lpmo,PRODUCES,LPMO_h2o2
LPMO_lpmo,PRODUCES,LPMO_h2o2
LPMO_lpmo,PRODUCES,LPMO_substrate
LPMO_lpmo,PRODUCES,LPMO_substrate
LPMO_lpmo,PRODUCES,LPMO_substrate
LPMO_lpmo,PRODUCES,LPMO_substrate
LPMO_lpmo,PRODUCES,LPMO_acids
LPMO_lpmo,PRODUCES,LPMO_acids
LPMO_lpmo,PRODUCES,LPMO_acids
LPMO_lpmo,PRODUCES,LPMO_acids
LPMO_lpmo,PRODUCES,LPMO_nfc
LPMO_lpmo,BINDS_TO,LPMO_cellulose
LPMO_lpmo,BINDS_TO,LPMO_cellulose
LPMO_lpmo,BINDS_TO,LPMO_cellulose
LPMO_lpmo,BINDS_TO,LPMO_cellulose
LPMO_lpmo,BINDS_TO,LPMO_chitin
LPMO_lpmo,BINDS_TO,LPMO_chitin
LPMO_lpmo,BINDS_TO,LPMO_chitin
LPMO_lpmo,BINDS_TO,LPMO_chitin
LPMO_lpmo,BINDS_TO,LPMO_substrate
LPMO_lpmo,BINDS_TO,LPMO_substrate
LPMO_lpmo,BINDS_TO,LPMO_substrate
LPMO_lpmo,BINDS_TO,LPMO_substrate
LPMO_lpmo,BINDS_TO,LPMO_phosphate
LPMO_lpmo,DEGRADES,LPMO_starch
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_cellulose
LPMO_lpmo,DEGRADES,LPMO_biomass
LPMO_lpmo,DEGRADES,LPMO_biomass
LPMO_lpmo,DEGRADES,LPMO_biomass
LPMO_lpmo,DEGRADES,LPMO_biomass
LPMO_lpmo,DEGRADES,LPMO_chitin
LPMO_lpmo,DEGRADES,LPMO_chitin
LPMO_lpmo,DEGRADES,LPMO_chitin
LPMO_lpmo,DEGRADES,LPMO_chitin
LPMO_lpmo,DEGRADES,LPMO_polysaccharides
LPMO_lpmo,DEGRADES,LPMO_chitin
LPMO_lpmo,DEGRADES,LPMO_chitin
LPMO_lpmo,DEGRADES,LPMO_chitin
LPMO_lpmo,DEGRADES,LPMO_chitin
LPMO_lpmo,DEGRADES,LPMO_wall
LPMO_lpmo,DEGRADES,LPMO_wall
LPMO_lpmo,DEGRADES,LPMO_wall
LPMO_lpmo,DEGRADES,LPMO_wall
LPMO_lpmo,DEGRADES,LPMO_substrate
LPMO_lpmo,DEGRADES,LPMO_substrate
LPMO_lpmo,DEGRADES,LPMO_substrate
LPMO_lpmo,DEGRADES,LPMO_substrate
LPMO_lpmo,DEGRADES,LPMO_structures
LPMO_lpmo,DEGRADES,LPMO_α-chitin
LPMO_lpmo,DEGRADES,LPMO_dyes
LPMO_lpmo,DEGRADES,LPMO_dyes
LPMO_lpmo,DEGRADES,LPMO_dyes
LPMO_lpmo,DEGRADES,LPMO_dyes
LPMO_lpmo,PARTICIPATES_IN,LPMO_h2o2
LPMO_lpmo,PARTICIPATES_IN,LPMO_cellulose
LPMO_lpmo,PARTICIPATES_IN,LPMO_cellulose
LPMO_lpmo,PARTICIPATES_IN,LPMO_cellulose
LPMO_lpmo,PARTICIPATES_IN,LPMO_cellulose
LPMO_lpmo,PARTICIPATES_IN,LPMO_chitin
LPMO_lpmo,PARTICIPATES_IN,LPMO_chitin
LPMO_lpmo,PARTICIPATES_IN,LPMO_chitin
LPMO_lpmo,PARTICIPATES_IN,LPMO_chitin
LPMO_lpmo,PARTICIPATES_IN,LPMO_substrates
LPMO_lpmo,PARTICIPATES_IN,LPMO_substrates
