Source,Relation,Target
Hexokinase,RELATION,glucose
Hexokinase,CATALYZES,glucose
Hexokinase,CATALYZES,glucose
Hexokinase,CATALYZES,glucose
Lactase,RELATION,lactose
Lactase,DOWN,lactose
Lactase,DOWN,lactose
Lactase,DOWN,lactose
Pepsin,RELATION,proteins
Pepsin,RELATION,bonds
Pepsin,RELATION,proteins
Pepsin,DIGESTS,proteins
Pepsin,DIGESTS,proteins
Pepsin,DIGESTS,proteins
Pepsin,DIGESTS,proteins
Pepsin,DIGESTS,proteins
Pepsin,DIGESTS,proteins
Pepsin,BREAKS,bonds
Pepsin,BREAKS,bonds
Pepsin,BREAKS,bonds
proteins,PRODUCE,H2O2
proteins,PRODUCE,H2O2
proteins,PRODUCE,H2O2
proteins,PRODUCE,H2O2
proteins,PRODUCE,H2O2
proteins,PRODUCE,H2O2
proteins,CLEAVE,reductant
proteins,CLEAVE,reductant
proteins,CLEAVE,reductant
proteins,#NAME?,substrate
proteins,#NAME?,substrate
proteins,#NAME?,substrate
proteins,#NAME?,substrate
proteins,#NAME?,substrate
proteins,#NAME?,substrate
proteins,#NAME?,Substrate
proteins,#NAME?,Substrate
proteins,#NAME?,Substrate
proteins,CHITINOLYTIC,chitin
proteins,CHITINOLYTIC,chitin
proteins,CHITINOLYTIC,chitin
proteins,CHITINOLYTIC,Chitin
proteins,CHITINOLYTIC,Chitin
proteins,CHITINOLYTIC,Chitin
proteins,CHITINOLYTIC,chitin
proteins,CHITINOLYTIC,chitin
proteins,CHITINOLYTIC,chitin
proteins,LINK,F-actin
proteins,LINK,F-actin
proteins,LINK,F-actin
proteins,DNA-BINDING,motif
proteins,DNA-BINDING,motif
proteins,DNA-BINDING,motif
proteins,RELATION,chitin
proteins,RELATION,H2O2
proteins,RELATION,substrate
proteins,RELATION,H2O2
proteins,RELATION,substrate
proteins,RELATION,F-actin
proteins,RELATION,reductant
proteins,RELATION,motif
proteins,RELATION,chitin
Amylase,RELATION,starch
Amylase,RELATION,sugars
Amylase,HYDROLYZES,starch
Amylase,HYDROLYZES,starch
Amylase,HYDROLYZES,starch
Amylase,CONVERTS,sugars
Amylase,CONVERTS,sugars
Amylase,CONVERTS,sugars
Lipase,RELATION,lipids
Lipase,RELATION,fats
Lipase,HYDROLYZES,fats
Lipase,HYDROLYZES,fats
Lipase,HYDROLYZES,fats
Lipase,ON,lipids
Lipase,ON,lipids
Lipase,ON,lipids
Trypsin,RELATION,bonds
Trypsin,CLEAVES,bonds
Trypsin,CLEAVES,bonds
Trypsin,CLEAVES,bonds
polymerase,RELATION,DNA
polymerase,RELATION,DNA
polymerase,SYNTHESIZES,DNA
polymerase,SYNTHESIZES,DNA
polymerase,SYNTHESIZES,DNA
polymerase,SYNTHESIZES,DNA
polymerase,SYNTHESIZES,DNA
polymerase,SYNTHESIZES,DNA
polymerase,BUILDS,chains
polymerase,BUILDS,chains
polymerase,BUILDS,chains
DNA,ENCODES,enzymatic
DNA,ENCODES,enzymatic
DNA,ENCODES,enzymatic
DNA,ENCODES,systems
DNA,ENCODES,systems
DNA,ENCODES,systems
DNA,ENCODES,metalloproteinases
DNA,ENCODES,metalloproteinases
DNA,ENCODES,metalloproteinases
DNA,ENCODES,domain
DNA,ENCODES,domain
DNA,ENCODES,domain
DNA,ENCODES,domains
DNA,ENCODES,domains
DNA,ENCODES,domains
DNA,ENCODES,domain
DNA,ENCODES,domain
DNA,ENCODES,domain
DNA,ENCODES,repressor
DNA,ENCODES,repressor
DNA,ENCODES,repressor
DNA,ENCODES,repressor
DNA,ENCODES,repressor
DNA,ENCODES,repressor
DNA,ENCODES,domains
DNA,ENCODES,domains
DNA,ENCODES,domains
DNA,ENCODES,CRISPR
DNA,ENCODES,CRISPR
DNA,ENCODES,CRISPR
DNA,ENCODES,CRISPR
DNA,ENCODES,CRISPR
DNA,ENCODES,CRISPR
DNA,ENCODES,enzymatic
DNA,ENCODES,enzymatic
DNA,ENCODES,enzymatic
DNA,ENCODES,Enzymatic
DNA,ENCODES,Enzymatic
DNA,ENCODES,Enzymatic
DNA,RELATION,enzymatic
DNA,RELATION,systems
DNA,RELATION,metalloproteinases
DNA,RELATION,domain
DNA,RELATION,domains
DNA,RELATION,domain
DNA,RELATION,repressor
DNA,RELATION,repressor
DNA,RELATION,domains
DNA,RELATION,CRISPR
DNA,RELATION,CRISPR
DNA,RELATION,enzymatic
Maltase,RELATION,maltose
Maltase,CONVERTS,maltose
Maltase,CONVERTS,maltose
Maltase,CONVERTS,maltose
Sucrase,RELATION,sucrose
Sucrase,BREAKS,sucrose
Sucrase,BREAKS,sucrose
Sucrase,BREAKS,sucrose
Urease,RELATION,urea
Urease,CATALYZES,urea
Urease,CATALYZES,urea
Urease,CATALYZES,urea
Glucokinase,RELATION,glucose-6-phosphate
Glucokinase,PHOSPHORYLATES,glucose-6-phosphate
Glucokinase,PHOSPHORYLATES,glucose-6-phosphate
Glucokinase,PHOSPHORYLATES,glucose-6-phosphate
Insulin,RELATION,carbohydrates
Insulin,REGULATES,carbohydrates
Insulin,REGULATES,carbohydrates
Insulin,REGULATES,carbohydrates
inhibitors,RELATION,replication
inhibitors,PREVENT,replication
inhibitors,PREVENT,replication
inhibitors,PREVENT,replication
Cellulase,RELATION,glucose
Cellulase,DEGRADES,glucose
Cellulase,DEGRADES,glucose
Cellulase,DEGRADES,glucose
Cellulase,DEGRADATION,cellulose
Cellulase,DEGRADATION,cellulose
Cellulase,DEGRADATION,cellulose
Cellulase,DEGRADATION,Cellulose
Cellulase,DEGRADATION,Cellulose
Cellulase,DEGRADATION,Cellulose
Cellulase,DEGRADATION,cellulose
Cellulase,DEGRADATION,cellulose
Cellulase,DEGRADATION,cellulose
Cellulase,DEPOLYMERIZATION,This
Cellulase,DEPOLYMERIZATION,This
Cellulase,DEPOLYMERIZATION,This
Cellulase,DEPOLYMERIZATION,this
Cellulase,DEPOLYMERIZATION,this
Cellulase,DEPOLYMERIZATION,this
Cellulase,DEPOLYMERIZATION,this
Cellulase,DEPOLYMERIZATION,this
Cellulase,DEPOLYMERIZATION,this
Cellulase,PRODUCTION,cellulose
Cellulase,PRODUCTION,cellulose
Cellulase,PRODUCTION,cellulose
Cellulase,PRODUCTION,Cellulose
Cellulase,PRODUCTION,Cellulose
Cellulase,PRODUCTION,Cellulose
Cellulase,PRODUCTION,cellulose
Cellulase,PRODUCTION,cellulose
Cellulase,PRODUCTION,cellulose
Cellulase,ACTIVITY,site
Cellulase,ACTIVITY,site
Cellulase,ACTIVITY,site
Cellulase,ACTIVITY,site
Cellulase,ACTIVITY,site
Cellulase,ACTIVITY,site
Cellulase,SACCHARIFICATION,biomass
Cellulase,SACCHARIFICATION,biomass
Cellulase,SACCHARIFICATION,biomass
Cellulase,SACCHARIFICATION,Biomass
Cellulase,SACCHARIFICATION,Biomass
Cellulase,SACCHARIFICATION,Biomass
Cellulase,OXIDISE,substrates
Cellulase,OXIDISE,substrates
Cellulase,OXIDISE,substrates
Cellulase,OXIDISE,Substrates
Cellulase,OXIDISE,Substrates
Cellulase,OXIDISE,Substrates
Cellulase,UP,cellulose
Cellulase,UP,cellulose
Cellulase,UP,cellulose
Cellulase,UP,Cellulose
Cellulase,UP,Cellulose
Cellulase,UP,Cellulose
Cellulase,UP,cellulose
Cellulase,UP,cellulose
Cellulase,UP,cellulose
synthase,RELATION,ADP
synthase,RELATION,ADP
synthase,RELATION,5-phosphate
synthase,RELATION,omega-hydroxy-L-arginine
synthase,RELATION,tetrahydrobiopterin
synthase,PRODUCES,ADP
synthase,PRODUCES,ADP
synthase,PRODUCES,ADP
synthase,PRODUCES,ADP
synthase,PRODUCES,ADP
synthase,PRODUCES,ADP
synthase,BINDING,omega-hydroxy-L-arginine
synthase,BINDING,omega-hydroxy-L-arginine
synthase,BINDING,omega-hydroxy-L-arginine
synthase,TRANSFER,5-phosphate
synthase,TRANSFER,5-phosphate
synthase,TRANSFER,5-phosphate
synthase,DONOR,tetrahydrobiopterin
synthase,DONOR,tetrahydrobiopterin
synthase,DONOR,tetrahydrobiopterin
ADP,RELATION,synthase
ADP,ENCODES,synthase
ADP,ENCODES,synthase
ADP,ENCODES,synthase
ATP,RELATION,synthase
ATP,RELATION,synthase
ATP,RELATION,kinase
ATP,RELATION,NCAM1
ATP,RELATION,NCAM1
ATP,RELATION,kinase
ATP,ENCODES,synthase
ATP,ENCODES,synthase
ATP,ENCODES,synthase
ATP,ENCODES,synthase
ATP,ENCODES,synthase
ATP,ENCODES,synthase
ATP,ENCODES,Kinase
ATP,ENCODES,Kinase
ATP,ENCODES,Kinase
ATP,ENCODES,kinase
ATP,ENCODES,kinase
ATP,ENCODES,kinase
ATP,ENCODES,NCAM1
ATP,ENCODES,NCAM1
ATP,ENCODES,NCAM1
ATP,ENCODES,NCAM1
ATP,ENCODES,NCAM1
ATP,ENCODES,NCAM1
ATP,ENCODES,kinase
ATP,ENCODES,kinase
ATP,ENCODES,kinase
ADP,RELATION,synthase
ADP,ENCODES,synthase
ADP,ENCODES,synthase
ADP,ENCODES,synthase
Ribosome,RELATION,mRNA
Ribosome,TRANSLATING,mRNA
Ribosome,TRANSLATING,mRNA
Ribosome,TRANSLATING,mRNA
Ligase,RELATION,fragments
Ligase,JOINS,fragments
Ligase,JOINS,fragments
Ligase,JOINS,fragments
Ligase,DEGRADATION,isophthalate
Ligase,DEGRADATION,isophthalate
Ligase,DEGRADATION,isophthalate
Oxidase,RELATION,reactions
Oxidase,CATALYZES,reactions
Oxidase,CATALYZES,reactions
Oxidase,CATALYZES,reactions
Oxidase,OXIDATION,OGs
Oxidase,OXIDATION,OGs
Oxidase,OXIDATION,OGs
Oxidase,PECTIN-DEGRADATION,OG
Oxidase,PECTIN-DEGRADATION,OG
Oxidase,PECTIN-DEGRADATION,OG
Kinase,RELATION,substrates
Kinase,TRANSFERS,substrates
Kinase,TRANSFERS,substrates
Kinase,TRANSFERS,substrates
Kinase,TRANSFERS,Substrates
Kinase,TRANSFERS,Substrates
Kinase,TRANSFERS,Substrates
Kinase,PHOSPHORYLATE,NADH
Kinase,PHOSPHORYLATE,NADH
Kinase,PHOSPHORYLATE,NADH
Kinase,PHOSPHORYLATE,NADH
Kinase,PHOSPHORYLATE,NADH
Kinase,PHOSPHORYLATE,NADH
Helicase,RELATION,helix
Helicase,UNWINDS,helix
Helicase,UNWINDS,helix
Helicase,UNWINDS,helix
Polymerase,RELATION,chains
Polymerase,SYNTHESIZES,DNA
Polymerase,SYNTHESIZES,DNA
Polymerase,SYNTHESIZES,DNA
Polymerase,SYNTHESIZES,DNA
Polymerase,SYNTHESIZES,DNA
Polymerase,SYNTHESIZES,DNA
Polymerase,BUILDS,chains
Polymerase,BUILDS,chains
Polymerase,BUILDS,chains
LPMOs,DOWN,chitin
LPMOs,DOWN,chitin
LPMOs,DOWN,chitin
LPMOs,DOWN,polysaccharides
LPMOs,DOWN,polysaccharides
LPMOs,DOWN,polysaccharides
LPMOs,DOWN,Chitin
LPMOs,DOWN,Chitin
LPMOs,DOWN,Chitin
LPMOs,DOWN,chitin
LPMOs,DOWN,chitin
LPMOs,DOWN,chitin
LPMOs,DEPOLYMERISATION,pests
LPMOs,DEPOLYMERISATION,pests
LPMOs,DEPOLYMERISATION,pests
LPMOs,DEPOLYMERISATION,chitin
LPMOs,DEPOLYMERISATION,chitin
LPMOs,DEPOLYMERISATION,chitin
LPMOs,DEPOLYMERISATION,Chitin
LPMOs,DEPOLYMERISATION,Chitin
LPMOs,DEPOLYMERISATION,Chitin
LPMOs,DEPOLYMERISATION,chitin
LPMOs,DEPOLYMERISATION,chitin
LPMOs,DEPOLYMERISATION,chitin
LPMOs,PROMOTES,wall
LPMOs,PROMOTES,wall
LPMOs,PROMOTES,wall
LPMOs,PROMOTES,Wall
LPMOs,PROMOTES,Wall
LPMOs,PROMOTES,Wall
LPMOs,BREAKDOWN,cellulose
LPMOs,BREAKDOWN,cellulose
LPMOs,BREAKDOWN,cellulose
LPMOs,BREAKDOWN,Cellulose
LPMOs,BREAKDOWN,Cellulose
LPMOs,BREAKDOWN,Cellulose
LPMOs,BREAKDOWN,cellulose
LPMOs,BREAKDOWN,cellulose
LPMOs,BREAKDOWN,cellulose
LPMOs,PRODUCTION,nanofibrils
LPMOs,PRODUCTION,nanofibrils
LPMOs,PRODUCTION,nanofibrils
LPMOs,OF,chitin
LPMOs,OF,chitin
LPMOs,OF,chitin
LPMOs,OF,Chitin
LPMOs,OF,Chitin
LPMOs,OF,Chitin
LPMOs,OF,chitin
LPMOs,OF,chitin
LPMOs,OF,chitin
LPMOs,HYDROLYSIS,biomass
LPMOs,HYDROLYSIS,biomass
LPMOs,HYDROLYSIS,biomass
LPMOs,HYDROLYSIS,biomass
LPMOs,HYDROLYSIS,biomass
LPMOs,HYDROLYSIS,biomass
LPMOs,HYDROLYSIS,Biomass
LPMOs,HYDROLYSIS,Biomass
LPMOs,HYDROLYSIS,Biomass
LPMOs,HYDROLYSIS,Biomass
LPMOs,HYDROLYSIS,Biomass
LPMOs,HYDROLYSIS,Biomass
LPMOs,BY,oligosaccharides
LPMOs,BY,oligosaccharides
LPMOs,BY,oligosaccharides
LPMOs,ACTIVITY,products
LPMOs,ACTIVITY,products
LPMOs,ACTIVITY,products
LPMOs,ACTIVITY,cellulose-active
LPMOs,ACTIVITY,cellulose-active
LPMOs,ACTIVITY,cellulose-active
LPMOs,ACTIVITY,Cellulose-Active
LPMOs,ACTIVITY,Cellulose-Active
LPMOs,ACTIVITY,Cellulose-Active
LPMOs,SUBSTRATE-BINDING,copper
LPMOs,SUBSTRATE-BINDING,copper
LPMOs,SUBSTRATE-BINDING,copper
LPMOs,SUBSTRATE-BINDING,Copper
LPMOs,SUBSTRATE-BINDING,Copper
LPMOs,SUBSTRATE-BINDING,Copper
LPMOs,MODULATE,site
LPMOs,MODULATE,site
LPMOs,MODULATE,site
LPMOs,MODULATE,site
LPMOs,MODULATE,site
LPMOs,MODULATE,site
LPMOs,DECONSTRUCTION,biomass
LPMOs,DECONSTRUCTION,biomass
LPMOs,DECONSTRUCTION,biomass
LPMOs,DECONSTRUCTION,Biomass
LPMOs,DECONSTRUCTION,Biomass
LPMOs,DECONSTRUCTION,Biomass
LPMOs,OXIDISING,substrates
LPMOs,OXIDISING,substrates
LPMOs,OXIDISING,substrates
LPMOs,OXIDISING,Substrates
LPMOs,OXIDISING,Substrates
LPMOs,OXIDISING,Substrates
LPMOs,REMODELING,wall
LPMOs,REMODELING,wall
LPMOs,REMODELING,wall
LPMOs,REMODELING,Wall
LPMOs,REMODELING,Wall
LPMOs,REMODELING,Wall
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
LPMOs,OXIDATIVE,substrate
