Source,Relation,Target
Hexokinase,catalyzes,glucose
Lactase,breaks down,lactose
Pepsin,digests,proteins
Amylase,hydrolyzes,starch
Lipase,acts on,lipids
Trypsin,cleaves,peptide bonds
DNA polymerase,synthesizes,DNA
Maltase,converts,maltose
Sucrase,breaks,sucrose
Urease,catalyzes,urea
Glucokinase,phosphorylates,glucose
Glucokinase,phosphorylates,glucose-6-phosphate
Insulin,regulates,carbohydrates
Protease inhibitors,prevent,replication
Cellulase,degrades,cellulose
Cellulase,degrades,glucose
ATP synthase,produces,ATP
ATP synthase,produces,ADP
Ribosome,translating,proteins
Ribosome,translating,mRNA
Ligase,joins,DNA fragments
Oxidase,catalyzes,oxidation-reduction reactions
Kinase,transfers,phosphate groups
Kinase,transfers,substrates
Amylase,converts,starch
Amylase,converts,sugars
Pepsin,breaks,peptide bonds
Lipase,hydrolyzes,fats
Helicase,unwinds,DNA double helix
Polymerase,builds,RNA chains
LPMOs,depolymerisation,glycosidic bonds
LPMOs,depolymerisation,carbohydrate polymers
LPMOs,depolymerisation,biomasses
LPMOs,depolymerisation,cellulose
LPMOs,depolymerisation,chitin
LPMOs,depolymerisation,biomass
LPMOs,depolymerisation,plant pathogenesis
LPMOs,depolymerisation,potato late blight
LPMOs,depolymerisation,ectomycorrhizae
LPMOs,depolymerisation,pathogenesis
LPMOs,depolymerisation,diseases
LPMOs,depolymerisation,bacteria
LPMOs,depolymerisation,pneumonia
LPMOs,depolymerisation,fungi
LPMOs,depolymerisation,human meningitis
LPMOs,depolymerisation,oomycetes
LPMOs,depolymerisation,viruses
LPMOs,depolymerisation,entomopox
LPMOs,depolymerisation,plant pests
LPMO,binding,phosphate
some,the,biopolymers conversion
some,the,cellulose
some,the,chitin
some,the,wood
some,the,cellulosic substrates
some,the,to
some,the,the
some,the,of plant cell
AA10 LPMO,active on,fungal cell wall chitin
LPMOs,promotes,glycosidic bonds
LPMOs,promotes,carbohydrate polymers
LPMOs,promotes,cellulose
LPMOs,promotes,chitin
LPMOs,promotes,biomass
LPMOs,promotes,chitin
LPMOs,promotes,cellulose
LPMOs,promotes,α-
LPMOs,promotes,β-chitin
LPMOs,promotes,chitin
LPMOs,promotes,fungal cell wall chitin
LPMOs,promotes,fungal cell wall
Carbohydrate Oxidases,Directed toward,Fungal Cell Wall
both,UmGH16_1-A,degrade
both,UmGH16_1-A,on the fungal
both,UmGH16_1-A,wall
both,UmGH16_1-A,","
both,UmGH16_1-A,a
both,UmGH16_1-A,the
both,UmGH16_1-A,of
both,UmGH16_1-A,Working
both,UmGH16_1-A,show that the
of,overall,Plant biomass
of,overall,wheat straw
of,overall,miscanthus
of,overall,pine
of,overall,poplar
of,overall,glucose
of,overall,miscanthus
of,overall,cellobionic acid
of,overall,high-value-added oxidized
of,overall,from industrial
Lytic xylan oxidases,unlock,biomass degradation
enzyme cocktails,degradation,Wood biomass
enzyme cocktails,degradation,biomass
enzyme cocktails,degradation,xylans
enzyme cocktails,degradation,wood biomass
enzyme cocktails,degradation,wood saccharification
enzyme cocktails,degradation,xylan-coated cellulose fibers
enzyme cocktails,degradation,woody biomass
AA9,enhance,polysaccharide
AA9,enhance,cellulose conversion
enzyme cocktail,degrading,Lignocellulosic biomass
enzyme cocktail,degrading,plant cell wall
enzyme cocktail,degrading,biomass
enzyme,oxidative,cellulose conversion
enzymatic,conversion,cellulose
enzymatic,conversion,biomass
enzymatic,conversion,cellulose
enzymatic,conversion,plant cell wall
enzymatic,conversion,lignocellulose degradation
enzymatic,conversion,cellulose
enzymatic,conversion,cellulose
enzymatic,conversion,cellobionic acid
enzymatic,conversion,cellulose binding site
enzymatic,conversion,cellulose
enzymatic,conversion,glucose release
enzymatic,conversion,lignocellulosic biomass
enzymatic,conversion,biomass recalcitrance
enzymatic,conversion,agro-industrial residues
CAZymes,breakdown,lignocellulose
the optimization of,of the,plant wastes
the optimization of,of the,plant biopolymers
the optimization of,of the,plant materials
the optimization of,of the,different types
the optimization of,of the,the degradation
the optimization of,of the,glycosidic
the optimization of,of the,in
the optimization of,of the,side
the optimization of,of the,transcriptional
cellulases,conversion,lignocellulosic biomass
robust,depolymerization,Lignocellulosic biomass
robust,depolymerization,polymeric constituents
robust,depolymerization,cellulose
robust,depolymerization,biomass
cellulases,degrade,cellulose chains
LPMO-assisted,simultaneous fermentative production,H2O2
LPMO-assisted,simultaneous fermentative production,cellulose
LPMO-assisted,simultaneous fermentative production,lactic acid
LPMO,SSF,lignocellulosic biomass
LPMO,SSF,H2O2
LPMO,SSF,H2O2
LPMO,SSF,cellulose depolymerization
LPMO,SSF,lactic acid
LPMO,SSF,cellulose
LPMO,SSF,H2O2
LPMO,SSF,lactic acid production
cellobiohydrolases,binding,cellulose
LPMOs,oxidative cleavage,cellulose
LPMOs,oxidative cleavage,cellulose
LPMOs,oxidative cleavage,cellulose
LPMOs,oxidative cleavage,cellulose
LPMOs,oxidative cleavage,cellulose
LPMOs,oxidative cleavage,cellulose
enzyme cocktail,processing,lignocellulosic biomass
enzyme cocktail,processing,feedstock
enzyme cocktail,processing,lignocellulose
lytic polysaccharide monooxygenases,solubilization,lignin
lytic polysaccharide monooxygenases,solubilization,cellulose
redox enzymes,conversion,polysaccharides
redox enzymes,conversion,cellulose
redox enzymes,conversion,plant biomass
redox enzymes,conversion,plant litter
redox enzymes,conversion,lignin
redox enzymes,conversion,cell wall carbohydrates
redox enzymes,conversion,lignin
redox enzymes,conversion,cellulose
redox enzymes,conversion,H2O2
redox enzymes,conversion,H2O2
redox enzymes,conversion,ring-conjugated olefins
redox enzymes,conversion,lignin
redox enzymes,conversion,phenolic hydroxyls
redox enzymes,conversion,H2O2
redox enzymes,conversion,lignocellulose
redox enzymes,conversion,biomass
hypothesis,of,protein-rich
hypothesis,of,methane
hypothesis,of,ammonia
hypothesis,of,ammonia
hypothesis,of,acetate
hypothesis,of,H2
hypothesis,of,CO2
hypothesis,of,for
hypothesis,of,channeling
hypothesis,of,toward
hypothesis,of,of
hypothesis,of,or
hypothesis,of,recycle organic
hypothesis,of,into
hypothesis,of,with protein-rich
hypothesis,of,or agricultural
hypothesis,of,accumulation
hypothesis,of,syntrophically
hypothesis,of,acetate
hypothesis,of,hydrogen and
hypothesis,of,covert
hypothesis,of,operation
hypothesis,of,production
lytic polysaccharide monooxygenase,oxidative cleavage,chitin
lytic polysaccharide monooxygenase,oxidative cleavage,N-acetylglucosamine
lytic polysaccharide monooxygenase,oxidative cleavage,chitin-rich waste streams
lytic polysaccharide monooxygenase,oxidative cleavage,chitin-containing cell walls
lytic polysaccharide monooxygenase,oxidative cleavage,chitin
lytic polysaccharide monooxygenase,oxidative cleavage,chito-oligomers
lytic polysaccharide monooxygenase,oxidative cleavage,crystalline chitin
lytic polysaccharide monooxygenase,oxidative cleavage,chitosan
lytic polysaccharide monooxygenase,oxidative cleavage,acetylxylan
lytic polysaccharide monooxygenase,oxidative cleavage,peptidoglycan
lytic polysaccharide monooxygenase,oxidative cleavage,penta-N-acetyl-chitopentaose
lytic polysaccharide monooxygenase,oxidative cleavage,acetate
lytic polysaccharide monooxygenase,oxidative cleavage,(GlcNAc)2
lytic polysaccharide monooxygenase,oxidative cleavage,(GlcNAc)3-6
lytic polysaccharide monooxygenase,oxidative cleavage,chito-oligomers
lytic polysaccharide monooxygenase,oxidative cleavage,crystalline chitin
lytic polysaccharide monooxygenase,oxidative cleavage,chitin chains
S1_16 subfamily,processing,Carrageenans
S1_16 subfamily,processing,sulfated polysaccharides
S1_16 subfamily,processing,carrageenans
S1_16 subfamily,processing,carrageenan
S1_16 subfamily,processing,carrageenans
S1_16 subfamily,processing,nonreducing end galactoses
S1_16 subfamily,processing,κ-carrageenan oligomers
S1_16 subfamily,processing,carrageenan
S1_16 subfamily,processing,carrageenan
LPMOs,Enzymatic degradation,sulfite-pulped softwoods
cellulase preparations,processing,lignocellulosic biomass
cellulase preparations,processing,Softwood biomass
cellulase preparations,processing,softwoods
GH61-type lytic polysaccharide monooxygenases,conversion,insoluble polysaccharides
GH61-type lytic polysaccharide monooxygenases,conversion,chitin chains
GH61-type lytic polysaccharide monooxygenases,conversion,N-acetylglucosamine
GH61-type lytic polysaccharide monooxygenases,conversion,chitin
GH61-type lytic polysaccharide monooxygenases,conversion,insoluble polysaccharides
GH61-type lytic polysaccharide monooxygenases,conversion,cellulose
syntrophic oxidizing bacteria,β-oxidation,biogas
syntrophic oxidizing bacteria,β-oxidation,food waste
syntrophic oxidizing bacteria,β-oxidation,ammonia
syntrophic oxidizing bacteria,β-oxidation,biomass
syntrophic oxidizing bacteria,β-oxidation,biomass
syntrophic oxidizing bacteria,β-oxidation,fatty acids
syntrophic oxidizing bacteria,β-oxidation,methane
syntrophic oxidizing bacteria,β-oxidation,ammonia
syntrophic oxidizing bacteria,β-oxidation,fatty acids
syntrophic oxidizing bacteria,β-oxidation,acetyl coenzyme A
Methanothermobacter,digestions,food waste-only
Methanothermobacter,digestions,cow manure
Methanothermobacter,digestions,food waste
Methanothermobacter,digestions,methane
Methanothermobacter,digestions,food waste
Methanothermobacter,digestions,food waste
Methanothermobacter,digestions,manure
Methanothermobacter,digestions,methane
Methanothermobacter,digestions,manure
Methanothermobacter,digestions,food waste
Methanothermobacter,digestions,volatile fatty acid
Methanothermobacter,digestions,VFA
Methanothermobacter,digestions,acetate
Methanothermobacter,digestions,Acetate
Methanothermobacter,digestions,propionate
Methanothermobacter,digestions,VFAs
Methanothermobacter,digestions,propionate
Methanothermobacter,digestions,VFA
chitinases,assay,Natural substrate
chitinase,of,natural substrates
chitinase,of,natural substrate ( GlcNAc ) ( 4 )
chitinase,of,used
chitinase,of,with 4-methylumbelliferyl- ( GlcNAc ) ( 2
chitinase,of,substrate and
chitinase,of,( GlcNAc ) ( 2 ) assays
chitinase,of,substrates for
Aurantiochytrium limacinum,Production of,docosahexaenoic acid
Aurantiochytrium limacinum,Production of,spruce sugars
A. limacinum SR21,production of,lignocellulosic sugars
A. limacinum SR21,production of,Norway spruce
A. limacinum SR21,production of,docosahexaenoic acid
A. limacinum SR21,production of,DHA
A. limacinum SR21,production of,spruce hydrolysate
A. limacinum SR21,production of,fatty acid
A. limacinum SR21,production of,DHA
A. limacinum SR21,production of,lipid accumulation
A. limacinum SR21,production of,spruce hydrolysates
A. limacinum SR21,production of,DHA
monocopper enzymes,Oxidative cleavage,polysaccharides
monocopper enzymes,Oxidative cleavage,H2O2
copper enzymes,enzymatic conversion,recalcitrant polysaccharides
copper enzymes,enzymatic conversion,molecular oxygen
copper enzymes,enzymatic conversion,oxygen atoms
copper enzymes,enzymatic conversion,H2O2
copper enzymes,enzymatic conversion,O2
copper enzymes,enzymatic conversion,H2O2
copper enzymes,enzymatic conversion,O2
copper enzymes,enzymatic conversion,H2O2
copper enzymes,enzymatic conversion,biomass
alginate lyases,Extraction,fucoidans
alginate lyases,Extraction,brown seaweeds
enzymes,enzymatic extraction,Fucoidans
enzymes,enzymatic extraction,fucose rich sulfated polysaccharides
enzymes,enzymatic extraction,brown seaweeds
enzymes,enzymatic extraction,fucoidans
enzymes,enzymatic extraction,brown seaweeds
enzymes,enzymatic extraction,Saccharina latissima
enzymes,enzymatic extraction,Alaria esculenta
enzymes,enzymatic extraction,fucoidans
enzymes,enzymatic extraction,fucoidans
enzymes,enzymatic extraction,fucose
enzymes,enzymatic extraction,sulfate
enzymes,enzymatic extraction,fucoidans
enzymes,enzymatic extraction,cellulose
enzymes,enzymatic extraction,laminarin
enzymes,enzymatic extraction,alginate
enzymes,enzymatic extraction,fucoidans
enzymes,enzymatic extraction,fucoidans
enzymes,enzymatic extraction,fucoidan
enzyme blend,improve,brown seaweed
enzyme blend,improve,Saccharina latissima
enzyme blend,improve,seaweed
enzyme blend,improve,sugar
enzyme blend,improve,seaweed biomass
enzyme blend,improve,fermentable sugars
enzyme blend,improve,glucose
enzyme blend,improve,mannitol
CBM33 protein,Cleavage,cellulose
cellulases,act synergistically,crystalline chitin
cellulases,act synergistically,crystalline cellulose
cellulases,act synergistically,Avicel
cellulases,act synergistically,filter paper
cellulases,act synergistically,lignocellulosic biomass
Candida utilis,fermentation,nonedible biomass
Candida utilis,fermentation,protein
Candida utilis,fermentation,sulphite-pulped spruce wood
Candida utilis,fermentation,glucose
Candida utilis,fermentation,brown seaweed
Candida utilis,fermentation,ammonium sulfate
Candida utilis,fermentation,microbial protein
Alginate Lyase,Degradation,Alginate
alginate lyases,formation,seaweed polysaccharides
alginate lyases,formation,fermentable sugars
alginate lyases,formation,alginate
alginate lyases,formation,poly-β-d-mannuronate
alginate lyases,formation,poly-α-l-guluronate
alginate lyases,formation,of
alginate lyases,formation,conversion
alginate lyases,formation,seaweed to
alginate lyases,formation,produces
alginate lyases,formation,sugars
alginate lyases,formation,of
alginate lyases,formation,product
chitinases,enzymatic hydrolysis,chitosan
and,the,substrate
and,the,chitosan
and,the,chitosan substrate
and,the,substrate
and,the,substrate
and,the,of solid crystalline
enzymes,degradation,cellulose
cellulases,acting on,biomass
cellulases,acting on,lignocellulosic biomass
cellulases,acting on,polysaccharides
cellulases,acting on,lignocellulosic biomass
cellulases,acting on,cellulose
cellulases,acting on,polysaccharide
cellulases,acting on,lignocellulosic biomass
cellulases,acting on,polysaccharides
cellulases,acting on,insoluble substrate
cellulases,acting on,chain
cellulases,acting on,polysaccharide chains
cellulases,acting on,chains
microorganisms,fermentation,biomass
microorganisms,fermentation,intracellular metabolites
microorganisms,fermentation,carbon substrates
sp. .,by,biomass
sp. .,by,biomass
sp. .,by,substrates :
sp. .,by,fermentation
sp. .,by,fermentation
yeasts,down-stream processing,gut health
yeasts,down-stream processing,Atlantic salmon
W. anomalus,counteracting,fish feeds
W. anomalus,counteracting,wood sugars
W. anomalus,counteracting,hydrolysates of chicken
W. anomalus,counteracting,Atlantic salmon fry
W. anomalus,counteracting,intestinal enteritis
W. anomalus,counteracting,intestinal enteritis
W. anomalus,counteracting,Atlantic salmon
W. anomalus,counteracting,gut health
W. anomalus,counteracting,Atlantic salmon
microbial community,pretreatment,Salix chips
microbial community,pretreatment,biogas
microbial community,pretreatment,glucose
microbial community,pretreatment,xylose
microbial community,pretreatment,glucose
microbial community,pretreatment,xylose
microbial community,pretreatment,furfurals
microbial community,pretreatment,biogas
microbial community,pretreatment,inhibitors
microbial community,pretreatment,biogas
microbial community,pretreatment,biogas
microbial community,pretreatment,sugar
microbial community,pretreatment,lignocellulosic biomass
microbial community,pretreatment,biogas
Dekkera bruxellensis,Adaptation,lignocellulose - based substrate
D. bruxellensis,adaptation,lignocellulose hydrolysate
D. bruxellensis,adaptation,lignocellulose medium
D. bruxellensis,adaptation,ethanol
D. bruxellensis,adaptation,lignocellulose hydrolysate
D. bruxellensis,adaptation,ethanol
D. bruxellensis,adaptation,ethanol
D. bruxellensis,adaptation,furfural
D. bruxellensis,adaptation,lignocelluloses hydrolysate
D. bruxellensis,adaptation,lignocelluloses hydrolysate
cellulolytic bacterium Caldicellulosiruptor bescii,bioaugmentation,methane
cellulolytic bacterium Caldicellulosiruptor bescii,bioaugmentation,lignocellulosic biomass
cellulolytic bacterium Caldicellulosiruptor bescii,AD,Biogas
cellulolytic bacterium Caldicellulosiruptor bescii,AD,lignocellulosic biomass
cellulolytic bacterium Caldicellulosiruptor bescii,AD,biomass
cellulolytic bacterium Caldicellulosiruptor bescii,AD,birch
cellulolytic bacterium Caldicellulosiruptor bescii,AD,methane
cellulolytic bacterium Caldicellulosiruptor bescii,AD,steam-exploded birch
endo-fucoidanase,screening,fucoidan hydrolysates
endo-fucoidanase,extraction,Brown macroalgae
endo-fucoidanase,extraction,fucoidans
endo-fucoidanase,extraction,Fucoidans
endo-fucoidanase,extraction,fucoidans
endo-fucoidanase,extraction,oligosaccharides
endo-fucoidanase,extraction,oligosaccharide structures
endo-fucoidanase,extraction,macroalgal biomass
endo-fucoidanase,extraction,oligosaccharides
endo-fucoidanase,extraction,fucoidan extracts
endo-fucoidanase,extraction,biomass
endo-fucoidanase,extraction,fucoidan
endo-fucoidanase,extraction,oligosaccharides
endo-fucoidanase,extraction,seaweed biomass
family,chitinase,oligomers of
family,chitinase,N-acetylglucosamine
family,chitinase,GlcNAc
family,chitinase,GlcNAc oligomers
family,chitinase,beta-chitin
family,chitinase,4-MU- ( GlcNAc ) 2
family,chitinase,amounts
family,chitinase,trimers
family,chitinase,degradation
family,chitinase,studies with
family,chitinase,subsites
lytic polysaccharide monooxygenases,degrading,oxidized cello-oligosaccharides
lytic polysaccharide monooxygenases,degrading,cellulose
Tetraselmis chui,recovery,starch
Tetraselmis chui,recovery,nitrogen
role in,for,starch
role in,for,monitored
role in,for,an
role in,for,producer
role in,for,","
role in,for,of
role in,for,absence
role in,for,even
role in,for,replenishment
role in,for,recovery
role in,for,production of
explored microbial,identified anaerobic,Seaweed
explored microbial,identified anaerobic,biofuels
explored microbial,identified anaerobic,polysaccharide
explored microbial,identified anaerobic,lignin
explored microbial,identified anaerobic,biogas
explored microbial,identified anaerobic,seaweed
explored microbial,identified anaerobic,lignocellulosic biomass
explored microbial,identified anaerobic,for
explored microbial,identified anaerobic,in
explored microbial,identified anaerobic,the
explored microbial,identified anaerobic,seaweed Saccharina
explored microbial,identified anaerobic,or wheat
explored microbial,identified anaerobic,The
explored microbial,identified anaerobic,better
explored microbial,identified anaerobic,in
cellulase mixtures,production,lactic acid
cellulase mixtures,production,lignocellulosic biomass
LPMO-containing cellulase cocktails,the,lignocellulosic biomass
LPMO-containing cellulase cocktails,the,fuels
LPMO-containing cellulase cocktails,the,chemicals
LPMO-containing cellulase cocktails,the,lactic acid
LPMO-containing cellulase cocktails,the,molecular oxygen
LPMO-containing cellulase cocktails,the,cellulose
LPMO-containing cellulase cocktails,the,lactic acid
LPMO-containing cellulase cocktails,the,steam-exploded birch
LPMO-containing cellulase cocktails,the,sugar
LPMO-containing cellulase cocktails,the,lactic acid
LPMO-containing cellulase cocktails,the,oxygen
LPMO-containing cellulase cocktails,the,lignocellulosic substrate
LPMO-containing cellulase cocktails,the,lactic acid
LPMO-containing cellulase cocktails,the,acetic acid
LPMO-containing cellulase cocktails,the,lactic acid
LPMO-containing cellulase cocktails,the,lignocellulosic biomass
LPMO-containing cellulase cocktails,the,of
Bacillus licheniformis,pre-treatment,Feathers
Bacillus licheniformis,pre-treatment,keratin
Bacillus licheniformis,pre-treatment,feather
Bacillus licheniformis,pre-treatment,feather meal
Bacillus licheniformis,pre-treatment,keratin
Bacillus licheniformis,pre-treatment,feather
Bacillus licheniformis,pre-treatment,keratin
Bacillus licheniformis,pre-treatment,feather
nonprocessive,that,chitin
nonprocessive,that,N-acetylglucosamine dimers
nonprocessive,that,GlcNAc2
nonprocessive,that,monomers
nonprocessive,that,oligosaccharides
nonprocessive,that,chitin
nonprocessive,that,GlcNAc6
nonprocessive,that,GlcNAc6
nonprocessive,that,dimers
nonprocessive,that,tetramers
nonprocessive,that,dimers
nonprocessive,that,chitosan
nonprocessive,that,polymer
nonprocessive,that,oligomers
nonprocessive,that,substrate chain
nonprocessive,that,the
nonprocessive,that,even-numbered
nonprocessive,that,degrade chitin
Microbial community,co-digestion,whey permeate
Microbial community,co-digestion,cow manure
several bacterial,stable,biogas
several bacterial,stable,whey permeate
several bacterial,stable,cow manure
several bacterial,stable,in
several bacterial,stable,of propionic
several bacterial,stable,", acetic"
several bacterial,stable,two
several bacterial,stable,of propionic
several bacterial,stable,of acetic
several bacterial,stable,The
several bacterial,stable,of
several bacterial,stable,and
archaeal,methanogenic activity,biogas
archaeal,methanogenic activity,biogas
archaeal,methanogenic activity,biogas
archaeal,methanogenic activity,biogas
archaeal,methanogenic activity,biomethane
archaeal,methanogenic activity,cellulose
archaeal,methanogenic activity,biomethane
archaeal,methanogenic activity,methane
archaeal,methanogenic activity,methane
archaeal,methanogenic activity,methane
archaeal,methanogenic activity,biogas
CBP21,degradation,chitin
chitinase,disruption,chitin
chitinase,disruption,N-acetylglucosamine
chitinase,disruption,chitin
chitinase,disruption,crystalline substrate
chitinase,disruption,substrate
chitinase,disruption,substrate
chitinase,disruption,crystalline beta-chitin
chitinase,disruption,chitin
chitinase,disruption,polymer
chitinase,disruption,crystalline chitin
chitinase,disruption,insoluble carbohydrate
chitinase,disruption,substrate
Methanothermobacter,inhibition,digestate
Methanothermobacter,inhibition,food waste
Methanothermobacter,inhibition,digestate
Methanothermobacter,inhibition,digestate
Methanothermobacter,inhibition,methane
Methanothermobacter,inhibition,CH4
Methanothermobacter,inhibition,methane
Methanothermobacter,inhibition,CH4
Methanothermobacter,inhibition,VFAs
Methanothermobacter,inhibition,ammonia
Mucoromycota fungi,simultaneous saccharification and fermentation,lignocellulose
enzyme,SSF,second-generation biofuel
enzyme,SSF,single-cell oils
enzyme,SSF,SCOs
enzyme,SSF,lignocellulose biomass
enzyme,SSF,lignocellulose
AMOR_PL7A,enzymatic,seaweed polysaccharides
AMOR_PL7A,enzymatic,functional oligosaccharides
AMOR_PL7A,enzymatic,fermentable sugars
AMOR_PL7A,enzymatic,brown seaweed
AMOR_PL7A,enzymatic,Saccharina latissima
AMOR_PL7A,enzymatic,alginate
AMOR_PL7A,enzymatic,poly mannuronate
AMOR_PL7A,enzymatic,sodium alginate
AMOR_PL7A,enzymatic,seaweed
AMOR_PL7A,enzymatic,glucose
AMOR_PL7A,enzymatic,seaweed processing
W. anomalus,producing,microbial protein
W. anomalus,producing,lignocellulosic sugars
W. anomalus,producing,nitrogen-rich industrial residues
W. anomalus,producing,sulfite-pulped spruce wood
W. anomalus,producing,hydrolysates
W. anomalus,producing,poultry by-products
W. anomalus,producing,urea
W. anomalus,producing,single-cell protein
W. anomalus,producing,protein
W. anomalus,producing,glucose
W. anomalus,producing,protein
W. anomalus,producing,fish feed protein
oleaginous fungi,screening,lipids
oleaginous fungi,screening,waste substrates
oleaginous fungi,screening,omega-6 polyunsaturated fatty acids
oleaginous fungi,screening,gamma-linolenic
oleaginous fungi,screening,arachidonic acid
oleaginous fungi,screening,biodiesel
oleaginous fungi,screening,fatty acid
oleaginous fungi,screening,lipid
Mucor circinelloides,Simultaneous production,fatty acids
Mucor circinelloides,Simultaneous production,amino polysaccharides
Mucor circinelloides,Simultaneous production,Norway spruce hydrolysates
Mucor circinelloides,polysaccharide,Lignocellulose
Mucor circinelloides,polysaccharide,single cell oils
Mucor circinelloides,polysaccharide,plant-derived oils
Mucor circinelloides,polysaccharide,fuels
Mucor circinelloides,polysaccharide,fatty acids
Mucor circinelloides,polysaccharide,amino polysaccharides
Mucor circinelloides,polysaccharide,chitin
Mucor circinelloides,polysaccharide,chitosan
Mucor circinelloides,polysaccharide,hydrolysates of Norway spruce
Mucor circinelloides,polysaccharide,Picea abies
Mucor circinelloides,polysaccharide,in spruce
Mucor circinelloides,polysaccharide,of
Mucor circinelloides,polysaccharide,with fatty
Mucor circinelloides,polysaccharide,and amino
Mucor circinelloides,polysaccharide,The fatty acid methyl
Mucor circinelloides,polysaccharide,(
Mucor circinelloides,polysaccharide,and fatty
Mucor circinelloides,polysaccharide,to
